benchmark,dataset,comp,rational,mem,localmem,coalesced,atomic,transfer,wgsize,F1:transfer/(comp+mem),F2:coalesced/mem,F3:(localmem/mem)*avgws,F4:comp/mem,oracle,runtime,speedup,penalty,runtime_cpu,ci_cpu,ci_mean_cpu,runtime_gpu,ci_gpu,ci_mean_gpu,kernel_nlines,kernel_size
00b2cd9176f8fd8ff41df5853ccc8ba77620d81f.cl-A,4096,1,1,5,0,4,0,98304,256,16384.0,0.8,0.0,0.2,GPU,0.016,2.48,0.40,0.039641,0.001014,0.02558,0.016,0.00065,0.040625,8,173
00b2cd9176f8fd8ff41df5853ccc8ba77620d81f.cl-A,4194304,1,1,5,0,4,0,100663296,256,16777216.0,0.8,0.0,0.2,GPU,4.900089,3.01,0.33,14.739519,5.189657,0.352091,4.900089,0.172257,0.035154,8,173
00b2cd9176f8fd8ff41df5853ccc8ba77620d81f.cl-A,512,1,1,5,0,4,0,12288,256,2048.0,0.8,0.0,0.2,GPU,0.013571,1.81,0.55,0.024584,0.016771,0.682192,0.013571,0.000497,0.036622,8,173
00b2cd9176f8fd8ff41df5853ccc8ba77620d81f.cl-A,524288,1,1,5,0,4,0,12582912,256,2097152.0,0.8,0.0,0.2,CPU,2.255742,1.19,0.84,2.255742,0.500432,0.221848,2.687571,1.006453,0.374484,8,173
00b2cd9176f8fd8ff41df5853ccc8ba77620d81f.cl-A,64,1,1,5,0,4,0,1536,64,256.0,0.8,0.0,0.2,CPU,0.009568,1.39,0.72,0.009568,0.002673,0.279369,0.013333,0.000637,0.047776,8,173
00b2cd9176f8fd8ff41df5853ccc8ba77620d81f.cl-A,65536,1,1,5,0,4,0,1572864,256,262144.0,0.8,0.0,0.2,CPU,0.260743,1.73,0.58,0.260743,0.181739,0.697004,0.451378,0.306462,0.678948,8,173
00b2cd9176f8fd8ff41df5853ccc8ba77620d81f.cl-A,8192,1,1,5,0,4,0,196608,256,32768.0,0.8,0.0,0.2,GPU,0.01997,3.46,0.29,0.0691,0.016816,0.243357,0.01997,0.000511,0.025588,8,173
0101fc457f7bea5c550493f1c84afc5ca59c0db8.cl-A,1024,2,2,2,0,2,0,24576,256,6144.0,1,0.0,1,CPU,0.043301,1.09,0.92,0.043301,0.026657,0.615621,0.047022,0.00179,0.038067,12,220
0101fc457f7bea5c550493f1c84afc5ca59c0db8.cl-A,1048576,2,2,2,0,2,0,25165824,256,6291456.0,1,0.0,1,GPU,3.839118,1.57,0.64,6.017795,0.875384,0.145466,3.839118,2.732761,0.71182,12,220
0101fc457f7bea5c550493f1c84afc5ca59c0db8.cl-A,128,2,2,2,0,2,0,3072,128,768.0,1,0.0,1,CPU,0.01042,1.46,0.68,0.01042,0.004794,0.460077,0.015259,0.004037,0.264565,12,220
